[LOGGING STARTED AT: 2026-04-29 10-36-35]2026-04-29 10:36:36.28 INFO  --- [MainThread] vame.preprocessing.preprocessing : 67 : Cleaning low confidence data points...

[LOGGING STARTED AT: 2026-04-29 10-36-36]2026-04-29 10:36:36.63 INFO  --- [MainThread] vame.preprocessing.cleaning : 46 : Cleaning low confidence data points. Confidence threshold: 0.2
2026-04-29 10:36:36.64 INFO  --- [MainThread] vame.preprocessing.cleaning : 49 : Session: irish_dance_pose_dlc
2026-04-29 10:36:36.219 INFO  --- [MainThread] vame.preprocessing.preprocessing : 78 : Egocentrically aligning and centering...

[LOGGING STARTED AT: 2026-04-29 10-36-36]2026-04-29 10:36:36.255 INFO  --- [MainThread] vame.preprocessing.alignment : 78 : Egocentric alignment with references: left_hip and right_hip
2026-04-29 10:36:36.255 INFO  --- [MainThread] vame.preprocessing.alignment : 85 : Session: irish_dance_pose_dlc
2026-04-29 10:36:36.412 INFO  --- [MainThread] vame.preprocessing.preprocessing : 91 : Cleaning outliers using IQR method...

[LOGGING STARTED AT: 2026-04-29 10-36-36]2026-04-29 10:36:36.456 INFO  --- [MainThread] vame.preprocessing.cleaning : 130 : Cleaning outliers with Z-score-based IQR cutoff.
2026-04-29 10:36:36.457 INFO  --- [MainThread] vame.preprocessing.cleaning : 135 : Session: irish_dance_pose_dlc
2026-04-29 10:36:36.636 INFO  --- [MainThread] vame.preprocessing.preprocessing : 102 : Applying Savitzky-Golay filter...

[LOGGING STARTED AT: 2026-04-29 10-36-36]2026-04-29 10:36:36.669 INFO  --- [MainThread] vame.preprocessing.filter : 41 : Applying Savitzky-Golay filter...
2026-04-29 10:36:36.669 INFO  --- [MainThread] vame.preprocessing.filter : 48 : Session: irish_dance_pose_dlc
2026-04-29 10:36:36.864 INFO  --- [MainThread] vame.preprocessing.preprocessing : 113 : Rescaling...

[LOGGING STARTED AT: 2026-04-29 10-36-36]2026-04-29 10:36:36.898 INFO  --- [MainThread] vame.preprocessing.scaling : 39 : Rescaling position data using individual scales...
2026-04-29 10:36:36.899 INFO  --- [MainThread] vame.preprocessing.scaling : 44 : Session: irish_dance_pose_dlc

[LOGGING STARTED AT: 2026-04-29 10-39-09]2026-04-29 10:39:09.935 INFO  --- [MainThread] vame.preprocessing.preprocessing : 67 : Cleaning low confidence data points...

[LOGGING STARTED AT: 2026-04-29 10-39-09]2026-04-29 10:39:09.968 INFO  --- [MainThread] vame.preprocessing.cleaning : 46 : Cleaning low confidence data points. Confidence threshold: 0.2
2026-04-29 10:39:09.968 INFO  --- [MainThread] vame.preprocessing.cleaning : 49 : Session: irish_dance_pose_dlc
2026-04-29 10:39:10.234 INFO  --- [MainThread] vame.preprocessing.preprocessing : 78 : Egocentrically aligning and centering...

[LOGGING STARTED AT: 2026-04-29 10-39-10]2026-04-29 10:39:10.287 INFO  --- [MainThread] vame.preprocessing.alignment : 78 : Egocentric alignment with references: left_hip and right_hip
2026-04-29 10:39:10.289 INFO  --- [MainThread] vame.preprocessing.alignment : 85 : Session: irish_dance_pose_dlc
2026-04-29 10:39:10.521 INFO  --- [MainThread] vame.preprocessing.preprocessing : 91 : Cleaning outliers using IQR method...

[LOGGING STARTED AT: 2026-04-29 10-39-10]2026-04-29 10:39:10.568 INFO  --- [MainThread] vame.preprocessing.cleaning : 130 : Cleaning outliers with Z-score-based IQR cutoff.
2026-04-29 10:39:10.584 INFO  --- [MainThread] vame.preprocessing.cleaning : 135 : Session: irish_dance_pose_dlc
2026-04-29 10:39:10.798 INFO  --- [MainThread] vame.preprocessing.preprocessing : 102 : Applying Savitzky-Golay filter...

[LOGGING STARTED AT: 2026-04-29 10-39-10]2026-04-29 10:39:10.849 INFO  --- [MainThread] vame.preprocessing.filter : 41 : Applying Savitzky-Golay filter...
2026-04-29 10:39:10.851 INFO  --- [MainThread] vame.preprocessing.filter : 48 : Session: irish_dance_pose_dlc
2026-04-29 10:39:11.95 INFO  --- [MainThread] vame.preprocessing.preprocessing : 113 : Rescaling...

[LOGGING STARTED AT: 2026-04-29 10-39-11]2026-04-29 10:39:11.131 INFO  --- [MainThread] vame.preprocessing.scaling : 39 : Rescaling position data using individual scales...
2026-04-29 10:39:11.131 INFO  --- [MainThread] vame.preprocessing.scaling : 44 : Session: irish_dance_pose_dlc
